local_time,timestamp,aqi,pm25,pm10,co,no2,o3,t,h,p,w
2025-07-16 17:23:31,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:23:41,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:23:52,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:24:03,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:24:13,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:24:24,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:24:34,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:24:45,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:24:55,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:25:05,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:25:16,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:25:26,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:25:37,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:25:48,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:25:59,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:26:10,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:26:20,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:26:31,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:26:42,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:26:53,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:27:04,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:27:15,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:27:26,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:27:39,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:27:51,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:28:02,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:28:13,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:28:23,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:28:34,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:28:46,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:28:58,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:29:10,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:29:20,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:29:31,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:29:43,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:29:54,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:30:06,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:30:17,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:30:29,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
